JJ PPM DIFF DIDD
1979.9959 337.53 2.34999999999997 1337.52
1980.0150 337.40 2.09999999999997 1337.39
1980.0342 337.71 1.07999999999998 1337.7
1980.0533 338.65 1.79999999999995 1338.64
1980.0724 337.89 0.870000000000005 1337.88
1980.0915 338.47 1.79000000000002 1338.46
1980.1107 338.19 1.69999999999999 1338.18
1980.1298 338.35 1.62 1338.34
1980.1489 338.91 1.98000000000002 1338.9
1980.1680 339.51 1.78999999999996 1339.5
1980.1872 339.83 1.70999999999998 1339.82
1980.2063 339.51 1.42000000000002 1339.5
1980.2254 340.84 1.79999999999995 1340.83
1980.2445 340.64 1.56 1340.63
1980.2637 340.76 1.76999999999998 1340.75
1980.2828 340.98 2.36000000000001 1340.97
1980.3019 341.15 1.82999999999998 1341.14
1980.3210 341.35 1.66000000000003 1341.34
1980.3402 341.39 2.69 1341.38
1980.3593 341.71 2.63 1341.7
1980.3784 341.45 1.90999999999997 1341.44
1980.3975 341.32 1.74000000000001 1341.31
1980.4167 341.64 1.82999999999998 1341.63
1980.4358 341.61 2.53000000000003 1341.6
1980.4549 341.50 2.39999999999998 1341.49
1980.4740 340.76 1.88 1340.75
1980.4932 340.40 2.13999999999999 1340.39
1980.5123 339.42 1.64000000000004 1339.41
1980.5314 339.31 1.36000000000001 1339.3
1980.5505 338.77 1.96999999999997 1338.76
1980.5697 338.81 1.94 1338.8
1980.5888 336.78 0.379999999999995 1336.77
1980.6079 338.07 1.84999999999997 1338.06
1980.6270 338.36 3.36000000000001 1338.35
1980.6462 337.21 2.31999999999999 1337.2
1980.6653 336.90 2.69999999999999 1336.89
1980.6844 336.24 1.38999999999999 1336.23
1980.7036 336.24 2.63 1336.23
1980.7227 335.36 2.02000000000004 1335.35
1980.7418 335.99 1.87 1335.98
1980.7609 335.72 1.15000000000003 1335.71
1980.7801 336.11 2 1336.1
1980.7992 336.51 2.44999999999999 1336.5
1980.8183 336.69 2.23000000000002 1336.68
1980.8374 336.97 2.24000000000001 1336.96
1980.8566 337.49 2.26999999999998 1337.48
1980.8757 337.20 1.52999999999997 1337.19
1980.8948 337.64 1.81 1337.63
1980.9139 337.88 1.5 1337.87
1980.9331 338.11 1.48000000000002 1338.1
1980.9522 338.50 1.55000000000001 1338.49
1980.9713 338.52 1.25 1338.51
1980.9904 338.60 1.17000000000002 1338.59
1981.0096 339.12 1.69 1339.11
1981.0288 339.25 1.74000000000001 1339.24
1981.0479 339.55 0.840000000000032 1339.54
1981.0671 339.67 1.73000000000002 1339.66
1981.0863 339.89 1.51999999999998 1339.88
1981.1055 340.70 2.63 1340.69
1981.1247 340.18 1.72000000000003 1340.17
1981.1438 341.34 2.75 1341.33
1981.1630 341.23 1.41000000000003 1341.22
1981.1822 340.97 1.32000000000005 1340.96
1981.2014 341.53 1.94 1341.52
